chamber,sample,stage,treat,plate,well,id,start_wt,abs1,abs2,abs3,abs_avg
E,pgEm,m,control_chamber,1,G04-1,G04-pgEm,12.76,0.3501,0.3464,0.3446,0.347033333
E,pgEm,m,control_chamber,3,H06-3,H06-pgEm,12.76,0.3416,0.338,0.3364,0.338666667
E,pgEy,y,control_chamber,1,A04-1,A04-pgEy,12.86,0.4888,0.4852,0.4831,0.4857
E,pgEy,y,control_chamber,1,G06-1,G06-pgEy,12.86,0.5182,0.5145,0.5128,0.515166667
E,pgEy,y,control_chamber,2,A09-2,A09-pgEy,12.86,0.5344,0.5266,0.5245,0.5285
F,pgFm,m,TC,1,G01-1,G01-pgFm,12.24,0.4672,0.459,0.4557,0.460633333
F,pgFm,m,TC,3,F10-3,F10-pgFm,12.24,0.4562,0.4525,0.4507,0.453133333
F,pgFm,m,TC,3,H09-3,H09-pgFm,12.24,0.5112,0.5068,0.5047,0.507566667
F,pgFy,y,TC,2,A05-2,A05-pgFy,12.24,0.5854,0.5769,0.5723,0.5782
F,pgFy,y,TC,2,C04-2,C04-pgFy,12.24,0.6423,0.6352,0.6315,0.636333333
F,pgFy,y,TC,3,B07-3,B07-pgFy,12.24,0.6791,0.6732,0.6706,0.6743
G,pgGm,m,TC,1,A03-1,A03-pgGm,12.3,0.3235,0.321,0.3187,0.321066667
G,pgGm,m,TC,1,G08-1,G08-pgGm,12.3,0.0539,0.054,0.054,0.053966667
G,pgGm,m,TC,2,A01-2,A01-pgGm,12.3,0.342,0.3359,0.3338,0.337233333
G,pgGy,y,TC,1,A01-1,A01-pgGy,12.31,0.4895,0.4842,0.4812,0.484966667
G,pgGy,y,TC,2,A07-2,A07-pgGy,12.31,0.5588,0.5518,0.5488,0.553133333
G,pgGy,y,TC,3,F06-3,F06-pgGy,12.31,0.5083,0.5035,0.5015,0.504433333
H,pgHm,m,TC+CO2,1,A06-1,A06-pgHm,12.28,0.4947,0.4909,0.4888,0.491466667
H,pgHm,m,TC+CO2,2,E07-2,E07-pgHm,12.28,0.5142,0.5048,0.5009,0.506633333
H,pgHm,m,TC+CO2,3,D10-3,D10-pgHm,12.28,0.4997,0.4965,0.4946,0.496933333
H,pgHy,y,TC+CO2,3,B05-3,B05-pgHy,12.95,0.6058,0.6009,0.5989,0.601866667
H,pgHy,y,TC+CO2,3,B06-3,B06-pgHy,12.95,0.6607,0.6541,0.6518,0.655533333
H,pgHy,y,TC+CO2,3,D05-3,D05-pgHy,12.95,0.6908,0.6851,0.6821,0.686
I,pgIm,m,TC+CO2,1,C05-1,C05-pgIm,12.19,0.429,0.4255,0.4229,0.4258
I,pgIm,m,TC+CO2,2,A10-2,A10-pgIm,12.19,0.4654,0.4608,0.4582,0.461466667
I,pgIm,m,TC+CO2,2,E01-2,E01-pgIm,12.19,0.4582,0.4494,0.4467,0.451433333
I,pgIy,y,TC+CO2,2,A08-2,A08-pgIy,12.76,0.7,0.6918,0.6869,0.6929
I,pgIy,y,TC+CO2,3,B12-3,B12-pgIy,12.76,0.6685,0.6637,0.6616,0.6646
I,pgIy,y,TC+CO2,3,H10-3,H10-pgIy,12.76,0.7589,0.75,0.7505,0.753133333
J,pgJm,m,control_chamber,1,A12-1,A12-pgJm,12.33,0.4488,0.446,0.4442,0.446333333
J,pgJm,m,control_chamber,1,G05-1,G05-pgJm,12.33,0.5033,0.4989,0.4963,0.4995
J,pgJm,m,control_chamber,2,G04-2,G04-pgJm,12.33,0.4729,0.465,0.4618,0.466566667
J,pgJy,y,control_chamber,1,C03-1,C03-pgJy,12.36,0.4699,0.4659,0.4644,0.466733333
J,pgJy,y,control_chamber,2,E04-2,E04-pgJy,12.36,0.4618,0.4554,0.4527,0.456633333
J,pgJy,y,control_chamber,2,E05-2,E05-pgJy,12.36,0.5332,0.5251,0.5219,0.526733333
K,pgKm,m,CO2,2,A03-2,A03-pgKm,12.73,0.3426,0.337,0.3346,0.338066667
K,pgKm,m,CO2,2,G10-2,G10-pgKm,12.73,0.4012,0.3961,0.3935,0.396933333
K,pgKm,m,CO2,3,H04-3,H04-pgKm,12.73,0.3515,0.3471,0.3458,0.348133333
K,pgKy,y,CO2,1,A05-1,A05-pgKy,12.58,0.5816,0.5776,0.5746,0.577933333
K,pgKy,y,CO2,3,F09-3,F09-pgKy,12.58,0.7444,0.739,0.7361,0.739833333
K,pgKy,y,CO2,4,B09-4,B09-pgKy,12.58,0.7289,0.7252,0.7243,0.726133333
L,pgLm,m,TC,1,C01-1,C01-pgLm,12.75,0.4477,0.4433,0.4414,0.444133333
L,pgLm,m,TC,3,H07-3,H07-pgLm,12.75,0.4776,0.4728,0.4708,0.473733333
L,pgLm,m,TC,4,B08-4,B08-pgLm,12.75,0.4676,0.4666,0.465,0.4664
L,pgLy,y,TC,1,C04-1,C04-pgLy,12.39,0.5145,0.5103,0.5088,0.5112
L,pgLy,y,TC,2,G06-2,G06-pgLy,12.39,0.5481,0.5403,0.5373,0.5419
L,pgLy,y,TC,3,D01-3,D01-pgLy,12.39,0.5841,0.578,0.576,0.579366667
M,pgMm,m,control_chamber,1,C06-1,C06-pgMm,12.3,0.4931,0.4889,0.4875,0.489833333
M,pgMm,m,control_chamber,2,A04-2,A04-pgMm,12.3,0.5986,0.5917,0.5884,0.5929
M,pgMm,m,control_chamber,2,E11-2,E11-pgMm,12.3,0.609,0.6036,0.5998,0.604133333
M,pgMy,y,control_chamber,1,C02-1,C02-pgMy,12.76,0.718,0.711,0.7088,0.7126
M,pgMy,y,control_chamber,1,G07-1,G07-pgMy,12.76,0.7264,0.7203,0.7167,0.721133333
M,pgMy,y,control_chamber,3,B02-3,B02-pgMy,12.76,0.7826,0.7774,0.775,0.778333333
N,pgNm,m,CO2,1,A09-1,A09-pgNm,12.7,0.6393,0.6354,0.6333,0.636
N,pgNm,m,CO2,3,D09-3,D09-pgNm,12.7,0.648,0.6421,0.6403,0.643466667
N,pgNm,m,CO2,4,B04-4,B04-pgNm,12.7,0.6706,0.6696,0.6684,0.669533333
N,pgNy,y,CO2,1,C08-1,C08-pgNy,12.76,0.8801,0.8738,0.8701,0.874666667
N,pgNy,y,CO2,1,C09-1,C09-pgNy,12.76,0.873,0.8666,0.8651,0.868233333
N,pgNy,y,CO2,1,E02-1,E02-pgNy,12.76,0.8326,0.8241,0.8203,0.825666667
O,pgOm,m,control_chamber,1,C12-1,C12-pgOm,12.72,0.4399,0.4383,0.4378,0.438666667
O,pgOm,m,control_chamber,1,G02-1,G02-pgOm,12.72,0.494,0.4881,0.4852,0.4891
O,pgOm,m,control_chamber,4,B06-4,B06-pgOm,12.72,0.4127,0.4116,0.4102,0.4115
O,pgOy,y,control_chamber,2,A02-2,A02-pgOy,12.38,0.6296,0.6202,0.6168,0.6222
O,pgOy,y,control_chamber,3,D08-3,D08-pgOy,12.38,0.6541,0.6528,0.6515,0.6528
O,pgOy,y,control_chamber,3,F01-3,F01-pgOy,12.38,0.6969,0.6903,0.6878,0.691666667
P,pgPm,m,TC,1,G10-1,G10-pgPm,12.27,0.5282,0.5248,0.523,0.525333333
P,pgPm,m,TC,3,B11-3,B11-pgPm,12.27,0.5066,0.5021,0.5004,0.503033333
P,pgPm,m,TC,3,D04-3,D04-pgPm,12.27,0.5702,0.5638,0.5615,0.565166667
P,pgPy,y,TC,1,E07-1,E07-pgPy,12.72,0.6017,0.5974,0.596,0.598366667
P,pgPy,y,TC,2,G01-2,G01-pgPy,12.72,0.6131,0.6017,0.5991,0.604633333
P,pgPy,y,TC,2,G05-2,G05-pgPy,12.72,0.7022,0.6916,0.6862,0.693333333
Q,pgQm,m,TC,2,G03-2,G03-pgQm,12.72,0.3571,0.3511,0.3485,0.352233333
Q,pgQm,m,TC,3,D02-3,D02-pgQm,12.72,0.3678,0.3645,0.3631,0.365133333
Q,pgQm,m,TC,3,H01-3,H01-pgQm,12.72,0.4222,0.4157,0.4142,0.417366667
Q,pgQy,y,TC,2,C09-2,C09-pgQy,12.73,0.535,0.5347,0.5262,0.531966667
