Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,Res.LL,Cum.Wt
stage,4,130.120912065775,0,1,0.877066728706489,-60.489027461459,0.877066728706489
add,7,134.15609355272,4.03518148694533,0.132975451435079,0.116628344188433,-58.3280467763602,0.993695072894922
interaxn,10,139.992398520782,9.8714864550071,0.00718511878302535,0.00630182862639559,-56.2030958121152,0.999996901521318
null,3,155.539902663126,25.4189905973514,3.02229132105444e-06,2.65075116215523e-06,-74.4366179982299,0.99999955227248
treat,6,159.096729670251,28.9758176044759,5.10482846009671e-07,4.47727519810481e-07,-72.2756375623982,1
